timestamp,app_version,participant_id,global_trial_index,sequence_trial_index,trial_id,sequence,criterion,regime,pair_description,pc_factor,gs_factor,pc_size_mb,gs_size_mb,pc_primitive_count,gs_primitive_count,left_method,right_method,left_video,right_video,video_a_name,video_b_name,choice_raw,choice_compact,selected_name,chosen_method,preference_3dgs,artifact_tags,time_used_seconds
2026-07-23T19:07:56.974982,pilot,20260722_204900_1,25,5,trial_13_Sign_take2_frame00503_same_NoP_256x,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC 256x vs 3DGS 256x,256x,256x,0.23,2.013,8938,8938,3DGS,PC,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_256x_pointcloud_10s.mp4,Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_256x_pointcloud_10s.mp4,Video A is better,A,Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,3DGS,1,,17.06
2026-07-23T19:12:24.874868,pilot,20260722_204900_1,26,6,trial_16_TicTacToe_take2_frame00586_same_NoP_4x,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC 4x vs 3DGS 4x,4x,4x,25.308,221.212,982863,982863,PC,3DGS,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_4x_3dgs_10s.mp4,Video A is better,A,TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,PC,0,,266.26
2026-07-23T19:12:45.722721,pilot,20260722_204900_1,27,6,trial_11_Sign_take2_frame00503_same_NoP_32x,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC 32x vs 3DGS 32x,32x,32x,1.841,16.096,71510,71510,3DGS,PC,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_32x_pointcloud_10s.mp4,Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_32x_pointcloud_10s.mp4,Video A is better,A,Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,3DGS,1,,19.12
2026-07-23T19:13:55.974061,pilot,20260722_204900_1,28,6,trial_07_BouncingBlue_frame00518_same_file_size_256x,BouncingBlue_frame00518,same file size,same_file_size,BouncingBlue_frame00518 same_file_size: PC 256x vs 3DGS 256x,256x,256x,0.031,0.274,1211,1211,PC,3DGS,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,BouncingBlue_frame00518_same_file_size_256x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,Video B is better,B,BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,3DGS,1,,68.56
2026-07-23T19:17:23.301679,pilot,20260722_204900_1,29,5,trial_31_NelliSport2_frame00589_same_file_size_4x,NelliSport2_frame00589,same file size,same_file_size,NelliSport2_frame00589 same_file_size: PC 4x vs 3DGS 4x,4x,4x,1.534,13.406,59558,59558,PC,3DGS,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,NelliSport2_frame00589_same_file_size_4x_pointcloud_10s.mp4,NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,Video B is better,B,NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,3DGS,1,,205.95
2026-07-23T19:18:27.171554,pilot,20260722_204900_1,30,7,trial_23_OverallBall_take1_frame00492_same_NoP_4x,OverallBall_take1_frame00492,same primitive count,same_NoP,OverallBall_take1_frame00492 same_NoP: PC 4x vs 3DGS 4x,4x,4x,17.109,149.542,664428,664428,PC,3DGS,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_4x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_4x_3dgs_10s.mp4,Video A is better,A,OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,PC,0,,62.61
2026-07-23T19:33:10.259782,pilot,20260722_204900_1,31,6,trial_34_NelliSport2_frame00589_same_NoP_256x,NelliSport2_frame00589,same primitive count,same_NoP,NelliSport2_frame00589 same_NoP: PC 256x vs 3DGS 256x,256x,256x,0.21,1.832,8134,8134,PC,3DGS,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_256x_pointcloud_10s.mp4,NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,Video B is better,B,NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,3DGS,1,,881.37
2026-07-23T19:34:32.470444,pilot,20260722_204900_1,32,7,trial_05_BouncingBlue_frame00518_same_file_size_32x,BouncingBlue_frame00518,same file size,same_file_size,BouncingBlue_frame00518 same_file_size: PC 32x vs 3DGS 32x,32x,32x,0.25,2.181,9684,9684,PC,3DGS,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,BouncingBlue_frame00518_same_file_size_32x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,Video B is better,B,BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,3DGS,1,,80.65
2026-07-23T19:35:36.718113,pilot,20260722_204900_1,33,7,trial_20_TicTacToe_take2_frame00586_same_NoP_256x,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC 256x vs 3DGS 256x,256x,256x,0.396,3.458,15357,15357,PC,3DGS,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_NoP_256x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,Video B is better,B,TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,3DGS,1,,59.76
2026-07-23T19:37:14.266218,pilot,20260722_204900_1,34,7,trial_30_NelliSport2_frame00589_same_NoP_4x,NelliSport2_frame00589,same primitive count,same_NoP,NelliSport2_frame00589 same_NoP: PC 4x vs 3DGS 4x,4x,4x,13.405,117.168,520585,520585,3DGS,PC,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_4x_3dgs_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,NelliSport2_frame00589_same_NoP_4x_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,Video B is better,B,NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,PC,0,,96.45
2026-07-23T19:37:31.897343,pilot,20260722_204900_1,35,7,trial_14_Sign_take2_frame00503_same_file_size_256x,Sign_take2_frame00503,same file size,same_file_size,Sign_take2_frame00503 same_file_size: PC 256x vs 3DGS 256x,256x,256x,0.027,0.232,1023,1023,PC,3DGS,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_256x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,Sign_take2_frame00503_same_file_size_256x_pointcloud_10s.mp4,Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,Video B is better,B,Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,3DGS,1,,16.19
